primary	mature	RBP	value
hsa-let-7a-1	hsa-let-7a	ZFR	5.80829591601186
hsa-let-7a-1	hsa-let-7a	TRMT1L	0
hsa-let-7a-1	hsa-let-7a	MSI1	1.5015015015015
hsa-let-7a-1	hsa-let-7a	TRIM26	0
hsa-let-7a-1	hsa-let-7a	SART3	0
hsa-let-7a-1	hsa-let-7a	RBBP6	0
hsa-let-7a-1	hsa-let-7a	MSI2	3.48514981564196
hsa-let-7a-1	hsa-let-7a	HNRNPL	5.87283131648289
hsa-let-7a-1	hsa-let-7a	STRBP	12.4588563914257
hsa-let-7a-1	hsa-let-7a	NUDT16L1	6.18994024341069
hsa-let-7a-1	hsa-let-7a	GRSF1	10.3699851569852
hsa-let-7a-1	hsa-let-7a	HNRNPF	3.87223897857948
hsa-let-7a-1	hsa-let-7a	HNRNPH1	2.73260152284795
hsa-let-7a-1	hsa-let-7a	HNRNPH2	4.55045832419122
hsa-let-7a-1	hsa-let-7a	HNRNPH3	5.21560316260472
hsa-let-7a-1	hsa-let-7a	ADARB1	13.7827006876996
hsa-let-7a-1	hsa-let-7a	LIN28A	1.743679163034
hsa-let-7a-1	hsa-let-7a	LIN28B	0.711743772241993
hsa-let-7a-1	hsa-let-7a	ZCCHC11	2.26337448559671
hsa-let-7a-1	hsa-let-7a	ZCCHC6	2.55102040816327
hsa-let-7a-1	hsa-let-7a	RBM12B	0
hsa-let-7a-1	hsa-let-7a	SLTM	0
hsa-let-7a-1	hsa-let-7a	SAFB	3.57142857142857
hsa-let-7a-1	hsa-let-7a	FUS	1.48828582543482
hsa-let-7a-1	hsa-let-7a	TAF15	1.76361692190696
hsa-let-7a-1	hsa-let-7a	RBM14	1.25914047740802
hsa-let-7a-1	hsa-let-7a	DDX1	2.85308955576863
hsa-let-7a-1	hsa-let-7a	APOBEC3B	0.646120049105124
hsa-let-7a-1	hsa-let-7a	RTCB	2.92047067449336
hsa-let-7a-1	hsa-let-7a	ESRP1	4.54174321290059
hsa-let-7a-1	hsa-let-7a	TRMT10C	0
hsa-let-7a-1	hsa-let-7a	RBM4	1.7954822954823
hsa-let-7a-1	hsa-let-7a	RBM4B	0
hsa-let-7a-1	hsa-let-7a	RBM6	0
hsa-let-7a-1	hsa-let-7a	SUGP1	0
hsa-let-7a-1	hsa-let-7a	PLRG1	0
hsa-let-7a-1	hsa-let-7a	CDC5L	0
hsa-let-7a-1	hsa-let-7a	CDC40	0
hsa-let-7a-1	hsa-let-7a	SF3A1	0.655737704918033
hsa-let-7a-1	hsa-let-7a	SF3A3	0
hsa-let-7a-1	hsa-let-7a	SF3B1	2.14513898935571
hsa-let-7a-1	hsa-let-7a	SF3B2	1.17832724940425
hsa-let-7a-1	hsa-let-7a	SF3B3	1.95665197724422
hsa-let-7a-1	hsa-let-7a	SF3B4	0.4
hsa-let-7a-1	hsa-let-7a	SF3B5	0
hsa-let-7a-1	hsa-let-7a	U2SURP	2.3287018198704
hsa-let-7a-1	hsa-let-7a	RBM10	0.769230769230769
hsa-let-7a-1	hsa-let-7a	CHERP	0
hsa-let-7a-1	hsa-let-7a	CCAR1	0
hsa-let-7a-1	hsa-let-7a	RBM17	0
hsa-let-7a-1	hsa-let-7a	RBM5	0
hsa-let-7a-1	hsa-let-7a	AQR	1.66666666666667
hsa-let-7a-1	hsa-let-7a	XAB2	0
hsa-let-7a-1	hsa-let-7a	PAXBP1	0
hsa-let-7a-1	hsa-let-7a	PURA	0.332225913621262
hsa-let-7a-1	hsa-let-7a	PURB	0
hsa-let-7a-1	hsa-let-7a	PLOD1	7.99541555752736
hsa-let-7a-1	hsa-let-7a	HNRNPA0	2.23846897758907
hsa-let-7a-1	hsa-let-7a	HNRNPA1	2.42139859969085
hsa-let-7a-1	hsa-let-7a	HNRNPA2B1	2.42645971773656
hsa-let-7a-1	hsa-let-7a	HNRNPA3	2.74226206099507
hsa-let-7a-1	hsa-let-7a	HNRNPK	1.85837655589153
hsa-let-7a-1	hsa-let-7a	KIN	0
hsa-let-7a-1	hsa-let-7a	TRIM71	0
hsa-let-7a-1	hsa-let-7a	G3BP2	0.815217391304348
hsa-let-7a-1	hsa-let-7a	ZC3H7A	0
hsa-let-7a-1	hsa-let-7a	ZC3H7B	0
hsa-let-7a-1	hsa-let-7a	XRN1	0
hsa-let-7a-1	hsa-let-7a	TRIM25	0
hsa-let-7a-1	hsa-let-7a	ATXN2L	1.13876319758673
hsa-let-7a-1	hsa-let-7a	ATXN2	0
hsa-let-7a-1	hsa-let-7a	NUFIP2	0.927797035179586
hsa-let-7a-1	hsa-let-7a	TTC3	0
hsa-let-7a-1	hsa-let-7a	PAPD4	1.25172481766213
hsa-let-7a-1	hsa-let-7a	ZC3H11A	0
hsa-let-7a-1	hsa-let-7a	HNRNPM	1.16265923719945
hsa-let-7a-1	hsa-let-7a	ZNF346	0.466446753332247
hsa-let-7a-1	hsa-let-7a	RTCA	0
hsa-let-7a-1	hsa-let-7a	DHX36	5.85394596856315
hsa-let-7a-1	hsa-let-7a	USP36	0
hsa-let-7a-1	hsa-let-7a	PATL1	0
hsa-let-7a-1	hsa-let-7a	EDC3	0
hsa-let-7a-1	hsa-let-7a	EDC4	0.740740740740741
hsa-let-7a-1	hsa-let-7a	DCP1A	0
hsa-let-7a-1	hsa-let-7a	DCP1B	0
hsa-let-7a-1	hsa-let-7a	DCP2	0
hsa-let-7a-1	hsa-let-7a	DDX3X	2.15030982559341
hsa-let-7a-1	hsa-let-7a	DDX3Y	0
hsa-let-7a-1	hsa-let-7a	HNRNPR	2.54798789023858
hsa-let-7a-1	hsa-let-7a	SYNCRIP	2.92430815942864
hsa-let-7a-1	hsa-let-7a	MYEF2	0
hsa-let-7a-1	hsa-let-7a	RBFOX2	0.208333333333333
hsa-let-7a-1	hsa-let-7a	KNOP1	0.480158169750035
hsa-let-7a-1	hsa-let-7a	DHX37	0.125786163522013
hsa-let-7a-1	hsa-let-7a	DDX21	1.39959564351199
hsa-let-7a-1	hsa-let-7a	LRPPRC	2.17296380007131
hsa-let-7a-1	hsa-let-7a	RBM45	0
hsa-let-7a-1	hsa-let-7a	RBMS1	0
hsa-let-7a-1	hsa-let-7a	CRTAP	0
hsa-let-7a-1	hsa-let-7a	P3H1	0
hsa-let-7a-1	hsa-let-7a	TRA2A	0.735294117647059
hsa-let-7a-1	hsa-let-7a	TRA2B	1.44354027318237
hsa-let-7a-1	hsa-let-7a	WWP1	0
hsa-let-7a-1	hsa-let-7a	WWP2	0
hsa-let-7a-1	hsa-let-7a	CPSF1	0
hsa-let-7a-1	hsa-let-7a	CPSF2	5
hsa-let-7a-1	hsa-let-7a	CPSF3	0
hsa-let-7a-1	hsa-let-7a	CPSF4	0
hsa-let-7a-1	hsa-let-7a	NUDT21	0.115740740740741
hsa-let-7a-1	hsa-let-7a	CPSF6	2.27272727272727
hsa-let-7a-1	hsa-let-7a	CPSF7	0
hsa-let-7a-1	hsa-let-7a	CSTF2	0
hsa-let-7a-1	hsa-let-7a	CSTF3	0
hsa-let-7a-1	hsa-let-7a	FIP1L1	0
hsa-let-7a-1	hsa-let-7a	WDR33	0
hsa-let-7a-1	hsa-let-7a	SYMPK	0.65359477124183
hsa-let-7a-1	hsa-let-7a	EPRS	8.50995772637932
hsa-let-7a-1	hsa-let-7a	RARS	0.773054502852735
hsa-let-7a-1	hsa-let-7a	IARS	4.56014872331572
hsa-let-7a-1	hsa-let-7a	LARS	2.77863505414087
hsa-let-7a-1	hsa-let-7a	DARS	1.82479181772828
hsa-let-7a-1	hsa-let-7a	QARS	0.358537633604903
hsa-let-7a-1	hsa-let-7a	MARS	0.837618203683664
hsa-let-7a-1	hsa-let-7a	KARS	0.464431678527537
hsa-let-7a-1	hsa-let-7a	AIMP1	0.33167495854063
hsa-let-7a-1	hsa-let-7a	AIMP2	0.22075055187638
hsa-let-7a-1	hsa-let-7a	ZNF385A	0
hsa-let-7a-1	hsa-let-7a	LARP7	0.065167807103291
hsa-let-7a-1	hsa-let-7a	DZIP3	0
hsa-let-7a-1	hsa-let-7a	TIAL1	0
hsa-let-7a-1	hsa-let-7a	EIF2AK2	0.175933400810058
hsa-let-7a-1	hsa-let-7a	LARP6	0
hsa-let-7a-1	hsa-let-7a	ZC3H10	0
